alpha,bias,num_features,proj_time,projection,regr_time,scale,test_score,val_score
10000.0,2.0,10000.0,0.0,linear,0.01895594596862793,1e-05,0.3013,0.30266666666666664
10000.0,2.0,10000.0,0.0,linear,0.018968820571899414,0.0001,0.3004,0.2926666666666667
10000.0,2.0,10000.0,0.0,linear,0.018915653228759766,0.001,0.3062,0.3084166666666667
10000.0,2.0,10000.0,0.0,linear,0.01898360252380371,0.01,0.3618,0.3631666666666667
10000.0,2.0,10000.0,0.0,linear,0.0215909481048584,0.1,0.6361,0.6360833333333333
10000.0,2.0,10000.0,0.0,linear,0.01906299591064453,1.0,0.7866,0.8033333333333333
10000.0,4.0,10000.0,0.0,linear,0.019073963165283203,1e-05,0.2983,0.2946666666666667
10000.0,4.0,10000.0,0.0,linear,0.018960237503051758,0.0001,0.308,0.3109166666666667
10000.0,4.0,10000.0,0.0,linear,0.08522844314575195,0.001,0.3171,0.31466666666666665
10000.0,4.0,10000.0,0.0,linear,0.01900339126586914,0.01,0.3619,0.3645
10000.0,4.0,10000.0,0.0,linear,0.019092798233032227,0.1,0.6356,0.6446666666666667
10000.0,4.0,10000.0,0.0,linear,0.01911449432373047,1.0,0.7846,0.7938333333333333
10000.0,8.0,10000.0,0.0,linear,0.019031286239624023,1e-05,0.3128,0.3095
10000.0,8.0,10000.0,0.0,linear,0.019023418426513672,0.0001,0.3205,0.3258333333333333
10000.0,8.0,10000.0,0.0,linear,0.021225929260253906,0.001,0.2965,0.2991666666666667
10000.0,8.0,10000.0,0.0,linear,0.03560018539428711,0.01,0.3601,0.3565
10000.0,8.0,10000.0,0.0,linear,0.019127368927001953,0.1,0.6379,0.6385
10000.0,8.0,10000.0,0.0,linear,0.029057741165161133,1.0,0.7867,0.7918333333333333
10000.0,16.0,10000.0,0.0,linear,0.019202232360839844,1e-05,0.3011,0.30133333333333334
10000.0,16.0,10000.0,0.0,linear,0.03295469284057617,0.0001,0.3034,0.30533333333333335
10000.0,16.0,10000.0,0.0,linear,0.019023656845092773,0.001,0.2947,0.2925833333333333
10000.0,16.0,10000.0,0.0,linear,0.01904773712158203,0.01,0.3623,0.3655833333333333
10000.0,16.0,10000.0,0.0,linear,0.0190277099609375,0.1,0.6348,0.6384166666666666
10000.0,16.0,10000.0,0.0,linear,0.019062280654907227,1.0,0.7858,0.798
