alpha,gamma,num_features,proj_time,projection,regr_time,scale,test_score,val_score
0.0001,0.000244140625,10000.0,0.0,rbf,0.0,0.1,0.0,0.0
0.0001,0.000244140625,10000.0,0.0,rbf,0.0,1.0,0.0,0.0
0.0001,0.000244140625,10000.0,0.0,rbf,0.0,10.0,0.0,0.0
0.0001,0.000244140625,10000.0,0.0,rbf,0.0,100.0,0.0,0.0
0.0001,0.00048828125,10000.0,0.13979339599609375,rbf,1.8100087642669678,0.001,0.7559,0.7696666666666667
0.0001,0.00048828125,10000.0,0.1378004550933838,rbf,1.8246195316314697,0.01,0.8342,0.8429166666666666
0.0001,0.00048828125,10000.0,0.10749125480651855,rbf,1.8137059211730957,0.1,0.8759,0.88125
0.0001,0.00048828125,10000.0,0.0,rbf,0.0,1.0,0.0,0.0
0.0001,0.00048828125,10000.0,0.0,rbf,0.0,10.0,0.0,0.0
0.0001,0.00048828125,10000.0,0.0,rbf,0.0,100.0,0.0,0.0
0.0001,0.0009765625,10000.0,0.10178709030151367,rbf,1.7447419166564941,0.001,0.7747,0.7835
0.0001,0.0009765625,10000.0,0.10239148139953613,rbf,1.7887921333312988,0.01,0.8515,0.8568333333333333
0.0001,0.0009765625,10000.0,0.1383974552154541,rbf,1.824409008026123,0.1,0.883,0.8881666666666667
0.0001,0.0009765625,10000.0,0.14705657958984375,rbf,1.8094062805175781,1.0,0.879,0.8850833333333333
0.0001,0.0009765625,10000.0,0.1056661605834961,rbf,1.792856216430664,10.0,0.8806,0.888
0.0001,0.0009765625,10000.0,0.1373577117919922,rbf,1.8177149295806885,100.0,0.8807,0.8885833333333333
0.0001,0.001953125,10000.0,0.11206412315368652,rbf,1.77492356300354,0.001,0.7906,0.8003333333333333
0.0001,0.001953125,10000.0,0.10692763328552246,rbf,1.75351881980896,0.01,0.8648,0.87075
0.0001,0.001953125,10000.0,0.13780570030212402,rbf,1.8325111865997314,0.1,0.8828,0.8871666666666667
0.0001,0.001953125,10000.0,0.10211992263793945,rbf,1.7996647357940674,1.0,0.8822,0.88575
0.0001,0.001953125,10000.0,0.10145926475524902,rbf,1.7910411357879639,10.0,0.8814,0.8884166666666666
0.0001,0.001953125,10000.0,0.1056666374206543,rbf,1.7761287689208984,100.0,0.8829,0.88725
0.0001,0.00390625,10000.0,0.17878270149230957,rbf,1.7438907623291016,0.001,0.8037,0.80925
0.0001,0.00390625,10000.0,0.14664673805236816,rbf,1.7447302341461182,0.01,0.8733,0.88375
0.0001,0.00390625,10000.0,0.1380481719970703,rbf,1.820131540298462,0.1,0.8828,0.8856666666666667
0.0001,0.00390625,10000.0,0.11282134056091309,rbf,1.7852323055267334,1.0,0.8832,0.8886666666666667
0.0001,0.00390625,10000.0,0.11085653305053711,rbf,1.8357744216918945,10.0,0.8808,0.8909166666666667
0.0001,0.00390625,10000.0,0.11325454711914062,rbf,1.8343830108642578,100.0,0.8795,0.8898333333333334
0.0001,0.0078125,10000.0,0.14208292961120605,rbf,1.8240611553192139,0.001,0.8171,0.8295
0.0001,0.0078125,10000.0,0.11320948600769043,rbf,1.837207555770874,0.01,0.8794,0.88425
0.0001,0.0078125,10000.0,0.10550141334533691,rbf,1.7743945121765137,0.1,0.8822,0.8844166666666666
