alpha,degree,dummy,kernel,output_dim,scale,seed,test_score,training_time,validation_score,warnings
100.0,1.0,0.0,opu,5000.0,0.1,0.0,0.8769,63.4418203830719,0.8815,12.0
10.0,1.0,0.0,opu,5000.0,0.1,0.0,0.8768,63.4418203830719,0.88175,12.0
1.0,1.0,0.0,opu,5000.0,0.1,0.0,0.8768,63.4418203830719,0.8814166666666666,12.0
0.1,1.0,0.0,opu,5000.0,0.1,0.0,0.8769,63.4418203830719,0.8815,12.0
0.01,1.0,0.0,opu,5000.0,0.1,0.0,0.8769,63.4418203830719,0.8814166666666666,12.0
0.0,1.0,0.0,opu,5000.0,0.1,0.0,0.8768,63.4418203830719,0.8815,12.0
100.0,1.0,0.0,opu,5000.0,0.01,0.0,0.8687,62.60211730003357,0.8753333333333333,8.0
10.0,1.0,0.0,opu,5000.0,0.01,0.0,0.8764,62.60211730003357,0.8805,8.0
1.0,1.0,0.0,opu,5000.0,0.01,0.0,0.8768,62.60211730003357,0.8815,8.0
0.1,1.0,0.0,opu,5000.0,0.01,0.0,0.8768,62.60211730003357,0.8816666666666667,8.0
0.01,1.0,0.0,opu,5000.0,0.01,0.0,0.8767,62.60211730003357,0.8814166666666666,8.0
0.0,1.0,0.0,opu,5000.0,0.01,0.0,0.8767,62.60211730003357,0.8815,8.0
100.0,1.0,0.0,opu,5000.0,0.001,0.0,0.8106,61.71466279029846,0.8159166666666666,4.0
10.0,1.0,0.0,opu,5000.0,0.001,0.0,0.8477,61.71466279029846,0.8545,4.0
1.0,1.0,0.0,opu,5000.0,0.001,0.0,0.8687,61.71466279029846,0.8753333333333333,4.0
0.1,1.0,0.0,opu,5000.0,0.001,0.0,0.8764,61.71466279029846,0.8805,4.0
0.01,1.0,0.0,opu,5000.0,0.001,0.0,0.8769,61.71466279029846,0.8815,4.0
0.0,1.0,0.0,opu,5000.0,0.001,0.0,0.8767,61.71466279029846,0.8815833333333334,4.0
100.0,1.0,0.0,opu,5000.0,0.0001,0.0,0.6899,62.695443868637085,0.7019166666666666,2.0
10.0,1.0,0.0,opu,5000.0,0.0001,0.0,0.7661,62.695443868637085,0.7751666666666667,2.0
1.0,1.0,0.0,opu,5000.0,0.0001,0.0,0.8106,62.695443868637085,0.8159166666666666,2.0
0.1,1.0,0.0,opu,5000.0,0.0001,0.0,0.8477,62.695443868637085,0.8545,2.0
0.01,1.0,0.0,opu,5000.0,0.0001,0.0,0.8687,62.695443868637085,0.8753333333333333,2.0
0.0,1.0,0.0,opu,5000.0,0.0001,0.0,0.8768,62.695443868637085,0.8814166666666666,2.0
100.0,1.0,0.0,opu,5000.0,1e-05,0.0,0.6107,62.66653490066528,0.501,2.0
10.0,1.0,0.0,opu,5000.0,1e-05,0.0,0.626,62.66653490066528,0.6395,2.0
1.0,1.0,0.0,opu,5000.0,1e-05,0.0,0.6899,62.66653490066528,0.7019166666666666,2.0
0.1,1.0,0.0,opu,5000.0,1e-05,0.0,0.7661,62.66653490066528,0.7751666666666667,2.0
0.01,1.0,0.0,opu,5000.0,1e-05,0.0,0.8106,62.66653490066528,0.8159166666666666,2.0
0.0,1.0,0.0,opu,5000.0,1e-05,0.0,0.8767,62.66653490066528,0.8815,2.0
100.0,1.0,1.0,opu,5000.0,1.0,0.0,0.8765,61.70961236953735,0.8821666666666667,12.0
10.0,1.0,1.0,opu,5000.0,1.0,0.0,0.8765,61.70961236953735,0.88225,12.0
1.0,1.0,1.0,opu,5000.0,1.0,0.0,0.8765,61.70961236953735,0.88225,12.0
0.1,1.0,1.0,opu,5000.0,1.0,0.0,0.8764,61.70961236953735,0.88225,12.0
0.01,1.0,1.0,opu,5000.0,1.0,0.0,0.8764,61.70961236953735,0.88225,12.0
0.0,1.0,1.0,opu,5000.0,1.0,0.0,0.8764,61.70961236953735,0.88225,12.0
100.0,1.0,1.0,opu,5000.0,0.1,0.0,0.8765,61.54370665550232,0.8825833333333334,12.0
10.0,1.0,1.0,opu,5000.0,0.1,0.0,0.8765,61.54370665550232,0.8821666666666667,12.0
1.0,1.0,1.0,opu,5000.0,0.1,0.0,0.8764,61.54370665550232,0.8821666666666667,12.0
0.1,1.0,1.0,opu,5000.0,0.1,0.0,0.8764,61.54370665550232,0.8821666666666667,12.0
0.01,1.0,1.0,opu,5000.0,0.1,0.0,0.8764,61.54370665550232,0.8821666666666667,12.0
0.0,1.0,1.0,opu,5000.0,0.1,0.0,0.8764,61.54370665550232,0.88225,12.0
100.0,1.0,1.0,opu,5000.0,0.01,0.0,0.868,61.72101020812988,0.8760833333333333,8.0
10.0,1.0,1.0,opu,5000.0,0.01,0.0,0.8754,61.72101020812988,0.8814166666666666,8.0
1.0,1.0,1.0,opu,5000.0,0.01,0.0,0.8765,61.72101020812988,0.8826666666666667,8.0
